
time 00h 45m 50s, episodes 1195, frames 0.383M, mean epr 2.137
time 00h 46m 00s, episodes 1196, frames 0.384M, mean epr 2.146
time 00h 46m 10s, episodes 1197, frames 0.385M, mean epr 2.144
time 00h 46m 20s, episodes 1197, frames 0.387M, mean epr 2.144
time 00h 46m 30s, episodes 1198, frames 0.388M, mean epr 2.143
time 00h 46m 40s, episodes 1199, frames 0.390M, mean epr 2.151
time 00h 46m 50s, episodes 1200, frames 0.391M, mean epr 2.130
time 00h 47m 00s, episodes 1201, frames 0.392M, mean epr 2.138
time 00h 47m 10s, episodes 1201, frames 0.394M, mean epr 2.138
time 00h 47m 20s, episodes 1202, frames 0.395M, mean epr 2.137
time 00h 47m 30s, episodes 1204, frames 0.396M, mean epr 2.154
time 00h 47m 41s, episodes 1204, frames 0.398M, mean epr 2.154
time 00h 47m 51s, episodes 1204, frames 0.399M, mean epr 2.154
time 00h 48m 01s, episodes 1204, frames 0.401M, mean epr 2.154
time 00h 48m 11s, episodes 1204, frames 0.402M, mean epr 2.154
time 00h 48m 21s, episodes 1204, frames 0.404M, mean epr 2.154
time 00h 48m 31s, episodes 1205, frames 0.405M, mean epr 2.153
time 00h 48m 42s, episodes 1205, frames 0.407M, mean epr 2.153
time 00h 48m 52s, episodes 1206, frames 0.408M, mean epr 2.151
time 00h 49m 02s, episodes 1206, frames 0.409M, mean epr 2.151
time 00h 49m 12s, episodes 1207, frames 0.411M, mean epr 2.130
time 00h 49m 22s, episodes 1208, frames 0.412M, mean epr 2.108
time 00h 49m 32s, episodes 1210, frames 0.414M, mean epr 2.086
time 00h 49m 42s, episodes 1211, frames 0.415M, mean epr 2.095
time 00h 49m 52s, episodes 1211, frames 0.416M, mean epr 2.095
time 00h 50m 02s, episodes 1211, frames 0.418M, mean epr 2.095
time 00h 50m 12s, episodes 1212, frames 0.419M, mean epr 2.074
time 00h 50m 22s, episodes 1212, frames 0.421M, mean epr 2.074
time 00h 50m 32s, episodes 1213, frames 0.422M, mean epr 2.074
time 00h 50m 43s, episodes 1214, frames 0.424M, mean epr 2.083
time 00h 50m 53s, episodes 1214, frames 0.425M, mean epr 2.083
time 00h 51m 03s, episodes 1215, frames 0.426M, mean epr 2.062
time 00h 51m 13s, episodes 1216, frames 0.428M, mean epr 2.061
time 00h 51m 23s, episodes 1217, frames 0.429M, mean epr 2.061
time 00h 51m 33s, episodes 1221, frames 0.431M, mean epr 2.049
time 00h 51m 43s, episodes 1221, frames 0.432M, mean epr 2.049
time 00h 51m 53s, episodes 1225, frames 0.433M, mean epr 1.988
time 00h 52m 03s, episodes 1228, frames 0.435M, mean epr 1.969
time 00h 52m 13s, episodes 1230, frames 0.436M, mean epr 1.949
time 00h 52m 23s, episodes 1232, frames 0.438M, mean epr 1.960
time 00h 52m 33s, episodes 1233, frames 0.439M, mean epr 1.971
